region,country,code,rank,score,total_population,gdp,social,health,freedom,generosity,corruption,dystopia,rank_old,score_old,gdp_old,social_old,health_old,freedom_old,corruption_old,generosity_old,score_change,gdp_change,social_change,health_change,freedom_change,generosity_change,corruption_change
,Namibia,NAM,113,4.639,2019677,0.879,1.313,0.477,0.401,0.07,0.056,,,,,,,,,,,,,,,,
,Somalia,SOM,112,4.668,8196395,0,0.698,0.268,0.559,0.243,0.27,,,,,,,,,,,,,,,,
Sub-Saharan Africa,Senegal,SEN,111,4.681,1177034,0.45,1.134,0.571,0.292,0.153,0.072,1.44395,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,0.777,0.08502,0.15781,0.1356,-0.07572,-0.05543,-0.03513
Middle East and Northern Africa,Palestinian Territories,,110,4.696,,0.657,1.247,0.672,0.225,0.103,0.066,2.04384,108,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,-0.019,0.05833,0.32142,0.01185,-0.01999,-0.00951,-0.06305
Southeastern Asia,Cambodia,KHM,109,4.7,13955507,0.574,1.122,0.637,0.609,0.232,0.062,0.98195,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.881,0.11362,0.49464,0.02586,-0.05346,-0.17159,-0.01047
Latin America and Caribbean,Venezuela,VEN,108,4.707,26725573,0.96,1.427,0.805,0.154,0.064,0.047,3.19131,23,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,-2.103,-0.08424,0.17104,0.08448,-0.27508,0.00559,-0.06369
Central and Eastern Europe,Albania,ALB,107,4.719,3153731,0.947,0.848,0.874,0.383,0.178,0.027,1.89894,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,-0.24,0.06833,0.04366,0.06075,0.02567,0.03528,-0.03713
Sub-Saharan Africa,South Africa,ZAF,106,4.722,47938663,0.96,1.351,0.469,0.389,0.13,0.055,1.71956,113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,0.08,0.03951,0.16632,0.19212,0.05693,0.01027,-0.03384
Southeastern Asia,Laos,LAO,105,4.796,,0.764,1.03,0.551,0.547,0.266,0.164,1.73799,99,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,-0.08,0.17334,0.29197,0.00191,-0.04891,-0.15592,-0.07849
Sub-Saharan Africa,Gabon,GAB,104,4.799,1290693,1.057,1.183,0.571,0.295,0.043,0.055,0.99895,143,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.903,-0.00324,0.27772,0.13728,-0.02414,-0.02522,-0.05591
Sub-Saharan Africa,Congo (Brazzaville),COD,103,4.812,,0.673,0.799,0.508,0.372,0.105,0.093,1.68135,139,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,0.823,-0.00566,0.1361,0.19749,-0.04266,-0.01888,-0.02386
